level_0,symbol,open_date,close_date,close,high,low,volume_usd,volume_coin,num_trades_in_bar,pct_change,price_change,short_price_change
2016-01-01 00:00:00+00:00,btc_usd,2016-01-01 00:06:00+00:00,2016-01-02 00:00:00+00:00,435.99,436.7,426.37,896909.4140778584,2070.698246699999,757.0,,,
2016-01-02 00:00:00+00:00,btc_usd,2016-01-02 00:00:00+00:00,2016-01-03 00:00:00+00:00,435.0,438.0,429.25,1368007.4814777104,3159.0680124000014,695.0,-0.0022706942819790132,0.997729305718021,1.002270694281979
2016-01-03 00:00:00+00:00,btc_usd,2016-01-03 00:00:00+00:00,2016-01-04 00:00:00+00:00,429.79,435.4,422.14,2240950.7801161567,5224.7965518,1133.0,-0.011977011494252787,0.9880229885057472,1.0119770114942528
2016-01-04 00:00:00+00:00,btc_usd,2016-01-04 00:00:00+00:00,2016-01-05 00:00:00+00:00,432.3,436.44,427.5,1492213.2849403946,3450.8674288999996,848.0,0.00584006142534732,1.0058400614253473,0.9941599385746527
2016-01-05 00:00:00+00:00,btc_usd,2016-01-05 00:00:00+00:00,2016-01-06 00:00:00+00:00,432.57,434.97,429.0,897187.2726152815,2076.7920965000003,873.0,0.0006245662734212232,1.0006245662734212,0.9993754337265788
2016-01-06 00:00:00+00:00,btc_usd,2016-01-06 00:00:00+00:00,2016-01-07 00:00:00+00:00,428.72,432.2,425.01,1025788.7531166873,2386.9963765,699.0,-0.008900293594100273,0.9910997064058997,1.0089002935941003
2016-01-07 00:00:00+00:00,btc_usd,2016-01-07 00:00:00+00:00,2016-01-08 00:00:00+00:00,461.02,464.04,426.12,6958439.813946955,15425.218639099998,4200.0,0.0753405486098151,1.075340548609815,0.9246594513901849
2016-01-08 00:00:00+00:00,btc_usd,2016-01-08 00:00:00+00:00,2016-01-09 00:00:00+00:00,453.53,469.49,445.42,6182144.807049812,13557.448002399988,4139.0,-0.016246583662314018,0.983753416337686,1.016246583662314
2016-01-09 00:00:00+00:00,btc_usd,2016-01-09 00:00:00+00:00,2016-01-10 00:00:00+00:00,450.0,454.81,444.86,3262375.131055945,7244.276845000006,2572.0,-0.007783388088990706,0.9922166119110093,1.0077833880889906
2016-01-10 00:00:00+00:00,btc_usd,2016-01-10 00:00:00+00:00,2016-01-11 00:00:00+00:00,450.5,450.75,439.01,2612667.2435367797,5865.4180873000005,2367.0,0.0011111111111110628,1.001111111111111,0.9988888888888889
2016-01-11 00:00:00+00:00,btc_usd,2016-01-11 00:00:00+00:00,2016-01-12 00:00:00+00:00,450.43,454.89,445.28,4189531.804301842,9324.11264630001,2429.0,-0.00015538290788008613,0.9998446170921199,1.00015538290788
2016-01-12 00:00:00+00:00,btc_usd,2016-01-12 00:00:00+00:00,2016-01-13 00:00:00+00:00,431.45,453.35,430.0,3502688.040527012,7856.552348399999,2079.0,-0.04213751304309221,0.9578624869569078,1.0421375130430923
2016-01-13 00:00:00+00:00,btc_usd,2016-01-13 00:00:00+00:00,2016-01-14 00:00:00+00:00,429.94,438.01,420.48,4288185.184096448,9983.023475699987,2919.0,-0.0034998261675743825,0.9965001738324256,1.0034998261675745
2016-01-14 00:00:00+00:00,btc_usd,2016-01-14 00:00:00+00:00,2016-01-15 00:00:00+00:00,427.87,432.92,425.76,1199753.9165056848,2796.6833456000004,1411.0,-0.004814625296552966,0.995185374703447,1.0048146252965529
2016-01-15 00:00:00+00:00,btc_usd,2016-01-15 00:00:00+00:00,2016-01-16 00:00:00+00:00,360.0,428.31,360.0,3945860.362008553,10044.390488899993,3975.0,-0.15862294622198336,0.8413770537780166,1.1586229462219833
